Data Size (B);Time Elapsed (s);Transfer Rate (MB/s)
1;0.00007975;0.01253920
2;0.00007821;0.02557092
4;0.00007823;0.05113052
8;0.00007825;0.10223840
16;0.00007829;0.20436372
32;0.00007838;0.40827585
64;0.00007855;0.81475130
128;0.00007890;1.62234848
256;0.00007959;3.21645407
512;0.00008098;6.32283614
1024;0.00008375;12.22723744
2048;0.00008929;22.93657055
4096;0.00010037;40.80727562
8192;0.00012254;66.84982371
16384;0.00016688;98.17746443
32768;0.00025556;128.22150120
65536;0.00043291;151.38469543
131072;0.00078762;166.41622830
262144;0.00149703;175.10987404
524288;0.00291585;179.80645206
1048576;0.00575349;182.25049952
2097152;0.01142877;183.49760958
